group,action,page_id,slug,path,clicks_90d,impressions_90d,published,redirect_to,note
about us,KEEP,85,about-us,/about-us/,4,1355,3/9/2023,,PROTECTED
about us,CONSOLIDATE,989845,about-us-2,/about-us-2/,1,173,12/22/2025,/about-us/,
asset management,KEEP,989830,asset-management,/asset-management/,0,6,12/22/2025,,
asset management,CONSOLIDATE,988507,asset-management,/business-continuity/information-security-services/asset-management/,0,0,4/9/2024,/asset-management/,
audio visual,KEEP,989807,audio-visual,/audio-visual/,0,34,12/22/2025,,
audio visual,CONSOLIDATE,989032,audio-visual,/business-continuity/third-party-services/audio-visual/,0,0,5/10/2024,/audio-visual/,
business broadband,KEEP,989808,business-broadband,/business-broadband/,0,8,12/22/2025,,
business broadband,CONSOLIDATE,989023,business-broadband,/business-continuity/third-party-services/business-broadband/,0,0,5/10/2024,/business-broadband/,
business continuity services,KEEP,465,business-continuity,/business-continuity/,0,0,3/13/2023,,PROTECTED
business continuity services,CONSOLIDATE,989843,business-continuity-services-2,/business-continuity-services-2/,0,0,12/22/2025,/business-continuity/,
cloud computing,KEEP,989819,cloud-computing,/cloud-computing/,0,23,12/22/2025,,
cloud computing,CONSOLIDATE,988685,cloud-computing,/business-continuity/cloud-computing/,0,0,4/11/2024,/cloud-computing/,
cloud infrastructure,CONSOLIDATE,988692,cloud-infrastructure-deployment,/business-continuity/cloud-computing/cloud-infrastructure-deployment/,0,0,4/11/2024,/cloud-infrastructure-deployment/,
cloud infrastructure,KEEP,989817,cloud-infrastructure-deployment,/cloud-infrastructure-deployment/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
company relocation,KEEP,989814,company-relocation,/company-relocation/,0,2,12/22/2025,,
company relocation,CONSOLIDATE,988719,company-relocation,/business-continuity/professional-services/company-relocation/,0,0,4/11/2024,/company-relocation/,
contact us,KEEP,83,contact,/contact/,45,1567,3/9/2023,,
contact us,CONSOLIDATE,989846,contact-2,/contact-2/,0,58,12/22/2025,/contact/,
disaster recovery,CONSOLIDATE,988516,disaster-recovery-planning-testing,/business-continuity/information-security-services/disaster-recovery-planning-testing/,0,0,4/9/2024,/disaster-recovery-planning-testing/,
disaster recovery,KEEP,989826,disaster-recovery-planning-testing,/disaster-recovery-planning-testing/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
eit menu styles,KEEP,989677,eit-menu-styles,/eit-menu-styles/,0,0,12/7/2025,,
eit menu styles,CONSOLIDATE,989800,eit-menu-styles-2,/eit-menu-styles-2/,0,0,12/22/2025,/eit-menu-styles/,
faq,KEEP,989704,faq,/faq/,1,26,12/7/2025,,
faq,CONSOLIDATE,989798,faq-2,/faq-2/,0,1,12/22/2025,/faq/,
home,KEEP,146,it-services,//,1,7,3/9/2023,,
home,CONSOLIDATE,989844,it-services-2,/it-services-2/,0,202,12/22/2025,/,
hosted data centre services,KEEP,989834,hosted-data-centre-services,/hosted-data-centre-services/,0,1,12/22/2025,,
hosted data centre services,CONSOLIDATE,988463,hosted-data-centre-services,/business-continuity/managed-services/hosted-data-centre-services/,0,0,4/5/2024,/hosted-data-centre-services/,
inventory rotation amp warehousing services,CONSOLIDATE,988648,inventory-rotation-warehousing-services,/business-continuity/procurement/inventory-rotation-warehousing-services/,0,0,4/11/2024,/inventory-rotation-warehousing-services/,
inventory rotation amp warehousing services,KEEP,989821,inventory-rotation-warehousing-services,/inventory-rotation-warehousing-services/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
iso27001 information security data privacy,CONSOLIDATE,988505,iso27001-information-security-data-privacy,/business-continuity/information-security-services/iso27001-information-security-data-privacy/,0,0,4/9/2024,/iso-27001-compliance/,
iso27001 information security data privacy,KEEP,989831,iso-27001-compliance,/iso-27001-compliance/,0,0,12/22/2025,,PROTECTED
it change management,KEEP,989828,it-change-management,/it-change-management/,0,1,12/22/2025,,
it change management,CONSOLIDATE,988512,it-change-management,/business-continuity/information-security-services/it-change-management/,0,0,4/9/2024,/it-change-management/,
it management consultancy,KEEP,989813,it-management-consultancy,/it-management-consultancy/,0,49,12/22/2025,,PROTECTED
it management consultancy,CONSOLIDATE,988724,it-management-consultancy,/business-continuity/professional-services/it-management-consultancy/,0,0,4/11/2024,/it-management-consultancy/,was mis-protected (shared slug); nested dupe of hub
it migration services,KEEP,989812,it-migration-services,/it-migration-services/,0,6,12/22/2025,,PROTECTED
it migration services,CONSOLIDATE,988730,it-migration-services,/business-continuity/professional-services/it-migration-services/,0,0,4/11/2024,/it-migration-services/,was mis-protected (shared slug); nested dupe of hub
it support cork,KEEP,989791,cork,/cork/,10,3293,12/22/2025,,
it support cork,CONSOLIDATE,989663,it-support-cork,/it-support-cork/,8,1716,12/7/2025,/cork/,
it support cork,CONSOLIDATE,989806,it-support-cork-2,/it-support-cork-2/,2,78,12/22/2025,/cork/,
it support dublin city centre,KEEP,989713,it-support-dublin-city-centre,/it-support-dublin-city-centre/,7,3208,12/7/2025,,
it support dublin city centre,CONSOLIDATE,989795,dublin-city-centre,/dublin-city-centre/,1,864,12/22/2025,/it-support-dublin-city-centre/,
it support dublin city centre,CONSOLIDATE,989797,it-support-dublin-city-centre-2,/it-support-dublin-city-centre-2/,0,0,12/22/2025,/it-support-dublin-city-centre/,
it support galway,KEEP,989664,it-support-galway,/it-support-galway/,7,2269,12/7/2025,,PROTECTED
it support galway,CONSOLIDATE,989790,galway,/galway/,6,3452,12/22/2025,/it-support-galway/,
it support galway,CONSOLIDATE,989805,it-support-galway-2,/it-support-galway-2/,0,6,12/22/2025,/it-support-galway/,
it support ireland,KEEP,989668,it-support-ireland-nationwide,/it-support-ireland-nationwide/,6,4439,12/7/2025,,
it support ireland,CONSOLIDATE,989801,it-support-ireland-nationwide-2,/it-support-ireland-nationwide-2/,0,221,12/22/2025,/it-support-ireland-nationwide/,
it support kilkenny,KEEP,989667,it-support-kilkenny,/it-support-kilkenny/,3,391,12/7/2025,,
it support kilkenny,CONSOLIDATE,989802,it-support-kilkenny-2,/it-support-kilkenny-2/,0,0,12/22/2025,/it-support-kilkenny/,
it support limerick,KEEP,989665,it-support-limerick,/it-support-limerick/,9,1409,12/7/2025,,PROTECTED
it support limerick,CONSOLIDATE,989789,limerick,/limerick/,3,3672,12/22/2025,/it-support-limerick/,
it support limerick,CONSOLIDATE,989804,it-support-limerick-2,/it-support-limerick-2/,0,81,12/22/2025,/it-support-limerick/,
it support south dublin,KEEP,989794,south-dublin,/south-dublin/,10,6180,12/22/2025,,
it support south dublin,CONSOLIDATE,989714,it-support-south-dublin,/it-support-south-dublin/,4,2852,12/7/2025,/south-dublin/,
it support south dublin,CONSOLIDATE,989796,it-support-south-dublin-2,/it-support-south-dublin-2/,0,0,12/22/2025,/south-dublin/,
it support waterford,KEEP,989666,it-support-waterford,/it-support-waterford/,8,3568,12/7/2025,,
it support waterford,CONSOLIDATE,989788,waterford,/waterford/,6,493,12/22/2025,/it-support-waterford/,
it support waterford,CONSOLIDATE,989803,it-support-waterford-2,/it-support-waterford-2/,0,37,12/22/2025,/it-support-waterford/,
managed print services,KEEP,989837,managed-print-services,/managed-print-services/,0,709,12/22/2025,,
managed print services,CONSOLIDATE,988379,managed-print-services,/business-continuity/third-party-services/managed-print-services/,0,0,4/2/2024,/managed-print-services/,
managed services,CONSOLIDATE,988434,managed-services,/business-continuity/managed-services/,0,0,4/5/2024,/managed-it-services/,
managed services,KEEP,989835,managed-it-services,/managed-it-services/,0,0,12/22/2025,,PROTECTED
mdm services dublin,KEEP,989685,mdm-services-dublin,/mdm-services-dublin/,8,1932,12/7/2025,,
mdm services dublin,CONSOLIDATE,989799,mdm-services-dublin-2,/mdm-services-dublin-2/,0,0,12/22/2025,/mdm-services-dublin/,
mobile device management,KEEP,989816,mobile-device-management,/mobile-device-management/,0,21,12/22/2025,,
mobile device management,CONSOLIDATE,988697,mobile-device-management,/business-continuity/cloud-computing/mobile-device-management/,0,0,4/11/2024,/mobile-device-management/,
modern cloud working,CONSOLIDATE,988687,modern-cloud-working,/business-continuity/cloud-computing/modern-cloud-working/,0,0,4/11/2024,/modern-cloud-working/,
modern cloud working,KEEP,989818,modern-cloud-working,/modern-cloud-working/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
network security monitoring,KEEP,989839,network-security-monitoring,/network-security-monitoring/,0,3,12/22/2025,,
network security monitoring,CONSOLIDATE,988366,network-security-monitoring,/business-continuity/managed-services/network-security-monitoring/,0,0,4/2/2024,/network-security-monitoring/,
on demand amp structured it procurement,KEEP,989820,on-demand-structured-it-procurement,/on-demand-structured-it-procurement/,0,137,12/22/2025,,
on demand amp structured it procurement,CONSOLIDATE,988672,on-demand-structured-it-procurement,/business-continuity/procurement/on-demand-structured-it-procurement/,0,0,4/11/2024,/on-demand-structured-it-procurement/,
our team,KEEP,1295,our-team,/our-team/,22,1123,3/14/2023,,PROTECTED
our team,CONSOLIDATE,989841,our-team-2,/our-team-2/,4,43,12/22/2025,/our-team/,
privacy notice,KEEP,1648,privacy-notice,/privacy-notice/,1,86,3/16/2023,,
privacy notice,CONSOLIDATE,989840,privacy-notice-2,/privacy-notice-2/,0,0,12/22/2025,/privacy-notice/,
procurement,KEEP,989825,procurement,/procurement/,0,3,12/22/2025,,
procurement,CONSOLIDATE,988616,procurement,/business-continuity/procurement/,0,0,4/11/2024,/procurement/,
professional services,KEEP,989815,professional-services,/professional-services/,0,28,12/22/2025,,
professional services,CONSOLIDATE,988717,professional-services,/business-continuity/professional-services/,0,0,4/11/2024,/professional-services/,
secure amp scalable network design,KEEP,989811,secure-scalable-network-design,/secure-scalable-network-design/,0,10,12/22/2025,,
secure amp scalable network design,CONSOLIDATE,988741,secure-scalable-network-design,/business-continuity/professional-services/secure-scalable-network-design/,0,0,4/11/2024,/secure-scalable-network-design/,
software acquisition,KEEP,989836,software-acquisition,/software-acquisition/,0,1,12/22/2025,,
software acquisition,CONSOLIDATE,988384,software-acquisition,/business-continuity/third-party-services/software-acquisition/,0,0,4/2/2024,/software-acquisition/,
software license management,KEEP,989822,software-license-management,/software-license-management/,1,413,12/22/2025,,
software license management,CONSOLIDATE,988631,software-license-management,/business-continuity/procurement/software-license-management/,0,0,4/11/2024,/software-license-management/,
strategic procurement,CONSOLIDATE,988626,strategic-procurement,/business-continuity/procurement/strategic-procurement/,0,0,4/11/2024,/strategic-procurement/,
strategic procurement,KEEP,989823,strategic-procurement,/strategic-procurement/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
supply chain logistics amp quality control,KEEP,989824,supply-chain-logistics-amp-quality-control,/supply-chain-logistics-amp-quality-control/,0,1,12/22/2025,,
supply chain logistics amp quality control,CONSOLIDATE,988619,supply-chain-logistics-amp-quality-control,/business-continuity/procurement/supply-chain-logistics-amp-quality-control/,0,0,4/11/2024,/supply-chain-logistics-amp-quality-control/,
third party services,CONSOLIDATE,989005,third-party-services,/business-continuity/third-party-services/,0,0,5/10/2024,/third-party-services/,
third party services,KEEP,989809,third-party-services,/third-party-services/,0,0,12/22/2025,,flipped-to-keep (flat architecture)
virtualization services,KEEP,989810,virtualization-services,/virtualization-services/,0,2,12/22/2025,,
virtualization services,CONSOLIDATE,988747,virtualization-services,/business-continuity/professional-services/virtualization-services/,0,0,4/11/2024,/virtualization-services/,
voip phone systems,KEEP,989833,voip-cloud-pbx-technology,/voip-cloud-pbx-technology/,0,169,12/22/2025,,
voip phone systems,CONSOLIDATE,988468,voip-cloud-pbx-technology,/business-continuity/managed-services/voip-cloud-pbx-technology/,0,0,4/5/2024,/voip-cloud-pbx-technology/,
