country,clicks,impressions,ctr,position
usa,219,123058,0.001779648620975475,50.19906060556811
ind,43,4689,0.009170398805715504,70.84197056941778
pak,39,339,0.11504424778761062,40.852507374631266
deu,18,525,0.03428571428571429,62.180952380952384
nld,9,204,0.04411764705882353,58.794117647058826
can,7,574,0.012195121951219513,56.444250871080136
irn,6,65,0.09230769230769231,52.89230769230769
gbr,4,4095,0.0009768009768009768,69.10305250305251
zaf,4,220,0.01818181818181818,69.75
phl,3,391,0.0076726342710997444,53.076726342711
rus,3,1365,0.002197802197802198,65.77948717948718
alb,2,25,0.08,71.6
aut,2,31,0.06451612903225806,52.12903225806452
esp,2,303,0.006600660066006601,61.92739273927393
fra,2,357,0.0056022408963585435,59.21008403361345
idn,2,339,0.0058997050147492625,54.982300884955755
ita,2,698,0.0028653295128939827,68.19484240687679
jpn,2,139,0.014388489208633094,67.3021582733813
are,1,223,0.004484304932735426,71.54260089686099
arg,1,400,0.0025,62.025
bel,1,33,0.030303030303030304,69.54545454545455
ben,1,7,0.14285714285714285,88.14285714285714
egy,1,194,0.005154639175257732,63.45876288659794
eth,1,26,0.038461538461538464,53.5
irl,1,107,0.009345794392523364,58.97196261682243
lka,1,15,0.06666666666666667,75.13333333333334
lux,1,5,0.2,16.8
mar,1,126,0.007936507936507936,62.43650793650794
mex,1,434,0.002304147465437788,60.09447004608295
nga,1,42,0.023809523809523808,51.07142857142857
abw,0,2,0.0,37.5
afg,0,2,0.0,48.0
ago,0,11,0.0,63.90909090909091
and,0,3,0.0,35.333333333333336
arm,0,14,0.0,54.92857142857143
atg,0,2,0.0,79.5
aus,0,190,0.0,65.03157894736842
aze,0,18,0.0,64.83333333333334
bfa,0,6,0.0,64.83333333333334
bgd,0,215,0.0,57.372093023255815
bgr,0,63,0.0,60.698412698412696
bhr,0,19,0.0,58.63157894736842
bhs,0,23,0.0,71.6086956521739
bih,0,35,0.0,70.22857142857143
blr,0,84,0.0,60.20238095238095
blz,0,6,0.0,76.5
bmu,0,4,0.0,77.0
bol,0,25,0.0,59.48
bra,0,4363,0.0,67.34173733669493
brb,0,38,0.0,69.76315789473684
brn,0,4,0.0,68.25
btn,0,1,0.0,72.0
bwa,0,5,0.0,84.2
che,0,265,0.0,65.82641509433962
chl,0,74,0.0,59.986486486486484
chn,0,13,0.0,20.307692307692307
civ,0,12,0.0,68.33333333333333
cmr,0,3,0.0,69.33333333333333
cod,0,4,0.0,73.25
cog,0,2,0.0,110.0
col,0,204,0.0,59.122549019607845
cpv,0,3,0.0,77.33333333333333
cri,0,28,0.0,65.96428571428571
cuw,0,1,0.0,1.0
cym,0,3,0.0,59.333333333333336
cyp,0,20,0.0,54.45
cze,0,36,0.0,61.47222222222222
dma,0,2,0.0,87.0
