country,region,city,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
United States,Arizona,Mesa,12,4,4,4,9,0.75,463.216657,32,86,0
Netherlands,North Holland,Haarlem,4,4,4,4,0,0.0,0.0,4,12,0
Poland,Masovian Voivodeship,Warsaw,4,4,4,4,0,0.0,0.0,4,12,0
Netherlands,North Holland,Amsterdam,3,3,3,3,3,1.0,23.327563666666663,3,12,0
Ireland,County Dublin,Dublin,2,2,2,2,1,0.5,17.3415585,2,7,0
United States,(not set),(not set),2,2,2,2,0,0.0,0.0,2,6,0
(not set),(not set),(not set),1,1,1,1,0,0.0,0.0,1,3,0
Bangladesh,Dhaka Division,Gazipur,1,1,1,1,1,1.0,138.79979,1,5,0
China,Fujian,Fuzhou,1,1,1,1,0,0.0,0.0,1,3,0
Germany,Hessen,Frankfurt am Main,1,1,1,1,0,0.0,0.0,1,3,0
India,Gujarat,Ahmedabad,1,1,1,1,1,1.0,1890.741101,3,9,0
Pakistan,Punjab,(not set),1,1,1,1,1,1.0,184.150695,1,4,0
Pakistan,Sindh,Karachi,1,1,1,1,0,0.0,1.499789,1,4,0
United States,Arizona,Gilbert,1,1,1,1,0,0.0,5.120807,1,4,0
United States,Texas,Haslet,1,1,1,1,0,0.0,8.915953,1,4,0
