country,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
United States,16,8,8,8,9,0.5625,348.28979025,36,100,0
Netherlands,7,7,7,7,3,0.4285714285714285,9.997527285714284,7,24,0
Poland,4,4,4,4,0,0.0,0.0,4,12,0
Ireland,2,2,2,2,1,0.5,17.3415585,2,7,0
Pakistan,2,2,2,2,1,0.5,92.825242,2,8,0
(not set),1,1,1,1,0,0.0,0.0,1,3,0
Bangladesh,1,1,1,1,1,1.0,138.79979,1,5,0
China,1,1,1,1,0,0.0,0.0,1,3,0
Germany,1,1,1,1,0,0.0,0.0,1,3,0
India,1,1,1,1,1,1.0,1890.741101,3,9,0
