dayOfWeekName,hour,sessions,totalUsers,engagementRate,keyEvents
Saturday,1,9,9,0.1111111111111111,0
Saturday,23,6,6,0.5,0
Friday,6,2,2,0.0,0
Saturday,20,2,2,1.0,0
Saturday,21,2,2,0.5,0
Saturday,22,2,2,1.0,0
Saturday,5,2,1,1.0,0
Saturday,6,2,2,1.0,0
Friday,21,1,1,0.0,0
Friday,22,1,1,0.0,0
Friday,9,1,1,0.0,0
Saturday,12,1,1,1.0,0
Saturday,18,1,1,1.0,0
Saturday,19,1,1,1.0,0
Saturday,8,1,1,1.0,0
Saturday,9,1,1,0.0,0
Thursday,15,1,1,0.0,0
Thursday,22,1,1,1.0,0
Thursday,4,1,1,0.0,0
Thursday,6,1,1,1.0,0
