landingPagePlusQueryString,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
/,24,20,20,20,13,0.5416666666666666,302.229563125,46,132,0
/web-development/,3,3,3,3,0,0.0,2.9719843333333333,3,10,0
/arizona-seo-services/,2,2,2,2,1,0.5,70.1497895,2,9,0
(not set),1,1,0,1,1,1.0,27.070386,0,3,0
/?gtm_latency=1,1,1,1,1,0,0.0,0.0,1,3,0
/arizona-digital-marketing/,1,1,1,1,0,0.0,0.0,1,3,0
/contact-us/,1,1,1,1,0,0.0,0.0,1,3,0
/seo-audit-results/?target=Azwebcorp.com,1,1,0,1,0,0.0,5.020169,1,3,0
/seo-audit-results/?target=Prestigewindowsz.com,1,1,0,1,1,1.0,457.678225,2,6,0
/seo-audit-results/?target=Rtilab.com,1,1,0,1,0,0.0,0.0,1,2,0
