country,region,sessions,totalUsers,newUsers,activeUsers,engagedSessions,engagementRate,averageSessionDuration,screenPageViews,eventCount,keyEvents
United States,Arizona,13,5,5,5,9,0.6923076923076922,427.97851469230767,33,90,0
Netherlands,North Holland,7,7,7,7,3,0.4285714285714285,9.997527285714284,7,24,0
Poland,Masovian Voivodeship,4,4,4,4,0,0.0,0.0,4,12,0
Ireland,County Dublin,2,2,2,2,1,0.5,17.3415585,2,7,0
United States,(not set),2,2,2,2,0,0.0,0.0,2,6,0
(not set),(not set),1,1,1,1,0,0.0,0.0,1,3,0
Bangladesh,Dhaka Division,1,1,1,1,1,1.0,138.79979,1,5,0
China,Fujian,1,1,1,1,0,0.0,0.0,1,3,0
Germany,Hessen,1,1,1,1,0,0.0,0.0,1,3,0
India,Gujarat,1,1,1,1,1,1.0,1890.741101,3,9,0
Pakistan,Punjab,1,1,1,1,1,1.0,184.150695,1,4,0
Pakistan,Sindh,1,1,1,1,0,0.0,1.499789,1,4,0
United States,Texas,1,1,1,1,0,0.0,8.915953,1,4,0
