date,clicks,impressions,ctr,position
2025-04-01,9,552,0.016304347826086956,
2025-05-01,81,13401,0.006044325050369375,
2025-06-01,79,11884,0.0066475934028946485,
2025-07-01,29,12648,0.002292852624920936,
2025-08-01,7,12341,0.0005672149744753262,
2025-09-01,12,7558,0.0015877216194760519,
2025-10-01,14,7602,0.001841620626151013,
2025-11-01,10,4907,0.002037905033625433,
2025-12-01,26,10243,0.002538318851898858,
2026-01-01,22,13007,0.001691396940109172,
2026-02-01,15,8156,0.0018391368317802845,
2026-03-01,16,10801,0.0014813443199703732,
2026-04-01,10,8388,0.0011921793037672865,
2026-05-01,13,8650,0.0015028901734104045,
2026-06-01,11,10055,0.001093983092988563,
2026-07-01,13,6435,0.00202020202020202,
2026-08-01,14,4376,0.0031992687385740404,
