date,clicks,impressions,ctr,position
2025-05-05,34,2557,0.01329683222526398,
2025-05-12,27,2746,0.009832483612527313,
2025-05-19,17,3294,0.0051608986035215545,
2025-05-26,9,3127,0.002878157978893508,
2025-06-02,13,3537,0.0036754311563471868,
2025-06-09,28,3936,0.007113821138211382,
2025-06-16,26,2257,0.011519716437749225,
2025-06-23,12,2279,0.005265467310223783,
2025-06-30,3,2104,0.0014258555133079848,
2025-07-07,0,2578,0.0,
2025-07-14,4,3108,0.001287001287001287,
2025-07-21,7,2856,0.0024509803921568627,
2025-07-28,11,3018,0.003644797879390325,
2025-08-04,8,2627,0.0030452988199467074,
2025-08-11,3,2479,0.0012101653892698668,
2025-08-18,1,2691,0.0003716090672612412,
2025-08-25,0,2990,0.0,
2025-09-01,2,3120,0.000641025641025641,
2025-09-08,4,3040,0.0013157894736842105,
2025-09-15,3,1666,0.001800720288115246,
2025-09-22,2,902,0.0022172949002217295,
2025-09-29,3,1230,0.0024390243902439024,
2025-10-06,3,1341,0.0022371364653243847,
2025-10-13,3,1603,0.0018714909544603868,
2025-10-20,3,1829,0.0016402405686167304,
2025-10-27,3,2028,0.0014792899408284023,
2025-11-03,4,1499,0.00266844563042028,
2025-11-10,1,1281,0.00078064012490242,
2025-11-17,1,1107,0.0009033423667570009,
2025-11-24,4,1031,0.0038797284190106693,
2025-12-01,2,1227,0.0016299918500407497,
2025-12-08,6,1841,0.0032590983161325366,
2025-12-15,1,2443,0.00040933278755628325,
2025-12-22,11,2610,0.00421455938697318,
2025-12-29,6,2439,0.0024600246002460025,
2026-01-05,9,2399,0.003751563151313047,
2026-01-12,5,3259,0.0015342129487572874,
2026-01-19,2,3026,0.0006609385327164573,
2026-01-26,4,3344,0.0011961722488038277,
2026-02-02,4,2387,0.0016757436112274822,
2026-02-09,5,2148,0.0023277467411545625,
2026-02-16,2,2112,0.000946969696969697,
2026-02-23,5,1703,0.002935995302407516,
2026-03-02,6,2019,0.0029717682020802376,
2026-03-09,5,2924,0.001709986320109439,
2026-03-16,2,2683,0.0007454342154304882,
2026-03-23,2,2157,0.0009272137227630969,
2026-03-30,4,2237,0.001788109074653554,
2026-04-06,1,2000,0.0005,
2026-04-13,2,2343,0.0008536064874093043,
2026-04-20,3,1748,0.0017162471395881006,
2026-04-27,3,2078,0.0014436958614051972,
2026-05-04,5,1216,0.004111842105263158,
2026-05-11,3,1626,0.0018450184501845018,
2026-05-18,2,2152,0.0009293680297397769,
2026-05-25,1,2019,0.0004952947003467063,
2026-06-01,3,2479,0.0012101653892698668,
2026-06-08,2,2232,0.0008960573476702509,
2026-06-15,1,2293,0.0004361098996947231,
2026-06-22,3,2197,0.0013654984069185253,
2026-06-29,4,2449,0.0016333197223356473,
2026-07-06,3,2498,0.0012009607686148918,
2026-07-13,4,2077,0.0019258545979778526,
2026-07-20,4,1761,0.002271436683702442,
2026-07-27,3,456,0.006578947368421052,
2026-08-03,0,305,0.0,
2026-08-10,2,407,0.004914004914004914,
2026-08-17,1,424,0.0023584905660377358,
2026-08-24,9,2062,0.004364694471387003,
2026-08-31,2,1363,0.001467351430667645,
